_id,check_in_id,created_at,restaurant_name
65cae13b9381b65064fa3654,21946,2023-12-03T00:43:25.016074Z,Sona
65cae13b9381b65064fa3655,21947,2023-12-03T00:50:13.216893Z,Greenpoint Fish & Lobster
65cae13b9381b65064fa3656,21948,2023-12-03T00:54:04.27981Z,Anton's
65cae13b9381b65064fa3657,21949,2023-12-03T01:00:29.258139Z,Greenpoint Fish & Lobster
65cae13b9381b65064fa3658,21950,2023-12-03T01:03:15.587535Z,gertrude's
65cae13b9381b65064fa3659,21951,2023-12-03T01:03:49.476523Z,Greenpoint Fish & Lobster
65cae13b9381b65064fa365a,21952,2023-12-03T01:03:58.479128Z,Principe
65cae13b9381b65064fa365b,21953,2023-12-03T01:04:07.631883Z,Principe
65cae13b9381b65064fa365c,21954,2023-12-03T01:04:53.225188Z,gertrude's
65cae13b9381b65064fa365d,21955,2023-12-03T01:45:03.195574Z,FLYBAR
65cae13b9381b65064fa365e,21956,2023-12-03T01:50:17.55153Z,Upside
65cae13b9381b65064fa365f,21957,2023-12-03T01:55:34.312356Z,Fish Cheeks
65cae13b9381b65064fa3660,21958,2023-12-03T01:57:07.548798Z,Dhom
65cae13b9381b65064fa3661,21959,2023-12-03T01:58:07.532262Z,Nat's on Bank
65cae13b9381b65064fa3662,21960,2023-12-03T01:58:13.236383Z,Dhom
65cae13b9381b65064fa3663,21961,2023-12-03T01:59:17.934677Z,Bananas Country Club
65cae13b9381b65064fa3664,21962,2023-12-03T02:09:51.278555Z,Upside
65cae13b9381b65064fa3665,21963,2023-12-03T02:10:38.072192Z,Upside
65cae13b9381b65064fa3666,21964,2023-12-03T02:32:44.414095Z,Upside
65cae13b9381b65064fa3667,21965,2023-12-03T02:33:30.817826Z,Razza
65cae13b9381b65064fa3668,21966,2023-12-03T02:38:07.53178Z,Bananas Country Club
65cae13b9381b65064fa3669,21967,2023-12-03T02:45:06.866533Z,Neeloo
65cae13b9381b65064fa366a,21968,2023-12-03T02:54:24.206014Z,Anton's
65cae13b9381b65064fa366b,21969,2023-12-03T03:03:19.377786Z,Llama San
